vote_count,runtime,popularity,original_language,total_different_languages,revenue,budget,total_production_countries,total_production_companies,total_genres,Total Cast Count,Male Cast Percentage,Total Crew Count,Male Crew Percentage,Rating > 70%
0.018979057591623036,101.0,14.447723000000002,0.0,1.0,0.03271074642406381,0.02631578947368421,3.0,9.0,3.0,20.0,0.65,84.0,0.9761904761904762,False
0.00952588714368819,85.0,7.101197,0.0,1.0,0.0,0.0,2.0,5.0,4.0,14.0,0.7857142857142857,15.0,0.9333333333333333,False
0.008289703315881327,106.0,7.021871000000001,0.0,1.0,0.0,0.10526315789473684,1.0,2.0,1.0,10.0,1.0,19.0,0.7894736842105263,False
0.023342059336823734,111.0,21.735068,0.0,2.0,0.025043833699916057,0.021052631578947368,1.0,1.0,3.0,13.0,0.8461538461538461,19.0,1.0,False
0.02210587550901687,109.0,14.17009,0.0,1.0,0.010341286242943544,0.06578947368421052,1.0,2.0,1.0,19.0,0.7894736842105263,29.0,0.8620689655172413,False
0.0037812681791739382,114.0,11.090254,0.0,1.0,0.006547217927912309,0.05263157894736842,1.0,2.0,3.0,5.0,0.8,2.0,1.0,False
0.07744328097731239,136.0,29.257137,0.0,1.0,0.03354618263912284,0.17105263157894737,3.0,6.0,2.0,17.0,0.6470588235294118,27.0,0.5925925925925926,False
0.040066899360093076,105.0,30.114383,0.0,1.0,0.018351774288197894,0.06842105263157895,1.0,2.0,1.0,12.0,0.8333333333333334,17.0,0.7058823529411765,False
0.005017452006980803,110.0,5.625989,0.0,1.0,0.0,0.0,1.0,1.0,1.0,33.0,0.8787878787878788,23.0,0.8695652173913043,False
0.03294066317626527,108.0,23.607070999999998,0.0,1.0,0.040665539008595195,0.09210526315789473,1.0,1.0,3.0,53.0,0.6226415094339622,43.0,0.8604651162790697,False
0.011489237929028505,139.0,13.064264,0.0,1.0,0.011446197138120761,0.0,1.0,3.0,2.0,63.0,0.873015873015873,46.0,0.8695652173913043,False
0.012216404886561954,98.0,6.948401,0.0,1.0,0.0,0.0,2.0,8.0,3.0,19.0,0.7894736842105263,41.0,0.7804878048780488,False
0.02741419429901105,101.0,19.944479,0.0,1.0,0.011286651022542019,0.0,2.0,3.0,2.0,13.0,0.46153846153846156,13.0,0.9230769230769231,False
0.18382780686445607,110.0,73.82289,0.0,1.0,0.09263746135282934,0.19736842105263158,2.0,9.0,3.0,18.0,0.7777777777777778,27.0,0.9629629629629629,False
0.004799301919720768,118.0,6.717994,0.0,1.0,0.014918008189533687,0.02368421052631579,1.0,1.0,3.0,17.0,0.7058823529411765,10.0,1.0,False
0.06551774287376382,99.0,23.531720999999997,0.0,1.0,0.07635477323321302,0.21052631578947367,1.0,3.0,4.0,71.0,0.7464788732394366,4.0,1.0,False
0.030031995346131473,113.0,16.188572,0.0,1.0,0.034756532803023585,0.07105263157894737,1.0,1.0,4.0,24.0,0.7916666666666666,14.0,0.9285714285714286,False
0.006253635834787667,99.0,7.0588679999999995,0.0,2.0,0.007139744716609502,0.013157894736842105,1.0,3.0,3.0,11.0,0.8181818181818182,2.0,1.0,False
0.0006544502617801048,90.0,1.5846,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,0.6666666666666666,4.0,1.0,False
0.014979639325189063,89.0,12.752463,0.0,1.0,0.0024923672941245837,0.04710526315789473,2.0,3.0,3.0,17.0,0.8235294117647058,8.0,1.0,False
0.03788539848749273,90.0,14.530803,0.0,1.0,0.027803900544325574,0.07368421052631578,1.0,3.0,2.0,19.0,0.631578947368421,27.0,0.7777777777777778,False
0.007926119837114602,112.0,6.938853999999999,0.0,2.0,0.0022576182999382013,0.009817105263157894,1.0,3.0,3.0,28.0,0.8571428571428571,48.0,1.0,False
0.11438336242001164,110.0,41.045084,0.0,4.0,0.027874251138353658,0.007894736842105263,1.0,5.0,3.0,15.0,0.8666666666666667,14.0,0.9285714285714286,False
0.01141652123327516,99.0,8.816995,0.0,2.0,0.0,0.0,2.0,1.0,2.0,24.0,0.9583333333333334,20.0,1.0,False
0.006253635834787667,102.0,9.702760000000001,0.0,1.0,0.0,2.631578947368421e-08,1.0,1.0,4.0,8.0,0.75,4.0,1.0,False
0.006835369400814427,143.0,9.110247,0.0,1.0,0.0,0.17105263157894737,5.0,2.0,2.0,17.0,0.5882352941176471,8.0,0.875,False
0.25036358347876675,138.0,70.78591,0.0,1.0,0.2649243006822488,0.39473684210526316,2.0,5.0,4.0,74.0,0.8783783783783784,23.0,0.7391304347826086,False
0.035631180919139034,125.0,22.164202,0.0,4.0,0.02720644686466262,0.10263157894736842,2.0,3.0,5.0,10.0,0.6,16.0,0.875,False
0.010616637579988365,94.0,7.034752,0.0,3.0,0.0030798004035407062,0.05263157894736842,2.0,2.0,1.0,13.0,0.6153846153846154,30.0,0.9666666666666667,False
0.009089586969168121,97.0,6.397042,0.0,1.0,0.004950476268284776,0.05263157894736842,1.0,4.0,4.0,31.0,0.7419354838709677,18.0,0.7222222222222222,False
0.04253926701570681,106.0,27.215666,0.0,1.0,0.006338350893416335,0.0,2.0,6.0,3.0,25.0,0.68,44.0,0.8636363636363636,False
0.031122745782431648,110.0,20.699212,0.0,1.0,0.05304246587934406,0.05789473684210526,1.0,3.0,2.0,15.0,0.6,9.0,0.6666666666666666,False
0.1626672484002327,109.0,40.526587,0.0,1.0,0.05397620138849321,0.09210526315789473,1.0,3.0,2.0,16.0,0.5625,4.0,1.0,False
0.00894415357766143,104.0,6.764436999999999,0.0,1.0,0.003992477901499632,0.034210526315789476,1.0,1.0,4.0,60.0,0.7333333333333333,16.0,0.9375,False
